Carrier,Route ID,Cluster,Stops,Stop Sequence,Detailed Route,Total Route Mileage,Has Restrictions?,Trailer Size,Temp Zones,Total Pallets,Truck Utilization,Total Travel (min),Total Stop Time (min),Total Duration (min),HOS Status,Estimated Cost,Mileage Status,Notes,Map Link
CRE,CRE_16,Others,3,"1561 (AMB:1.78, PRO:0.50) / 1559 (AMB:4.56, PRO:3.00) / 8015 (AMB:6.17)",1561 (9.5 mi) -> 1559 (9 mi) -> 8015,354,Yes,48',Single Temp,16.01,72.80%,439,75,544,OK,565.5,OK, [Single Temp (Ambient): 5 stops],N/A
CRE,CRE_17,Others,3,"1433 (AMB:4.39, PRO:2.39, CHI:5.50) / 1177 (CHI:4.00) / 1545 (CHI:3.00)",1433 (43.8 mi) -> 1177 (0 mi) -> 1545,334,No,53',Dual Temp,19.28,74.20%,412,75,517,OK,550.5,OK, [Front: 2 ambient stops | Rear: 3 cold stops],N/A
CRE,CRE_18,Others,3,"1564 (AMB:4.78, PRO:2.00) / 1579 (AMB:4.50, PRO:1.00) / 1580 (PRO:1.00, CHI:6.48)",1564 (0 mi) -> 1579 (0 mi) -> 1580,338,Yes,48',Dual Temp,19.76,89.80%,385,90,475,OK,553.5,OK, [Front: 5 ambient stops | Rear: 1 cold stops],N/A
CRE,CRE_19,Others,3,"8002 (AMB:2.00, PRO:2.00) / 8006 (AMB:3.39, PRO:2.50) / 8021 (AMB:3.17, PRO:2.00)",8002 (6.2 mi) -> 8006 (12.2 mi) -> 8021,403,No,53',Single Temp,15.06,57.90%,458,90,578,OK,602.25,OK, [Single Temp (Ambient): 6 stops],N/A
Consolidated Overspill,ConsolidatedOvsp_1,Others,1,"1023 (AMB:3.39, PRO:2.39, CHI:3.50, FRE:2.00)",1023,36,No,53',Dual Temp,11.28,N/A,49,60,109,OK,N/A,OK,Consolidated 4 shipments for store 1023 [Front: 2 ambient stops | Rear: 2 cold stops],N/A
Consolidated Overspill,ConsolidatedOvsp_2,Others,1,"1129 (AMB:7.78, PRO:1.50, CHI:5.00)",1129,90,No,53',Dual Temp,14.28,N/A,109,45,154,OK,N/A,OK,Consolidated 3 shipments for store 1129 [Front: 2 ambient stops | Rear: 1 cold stops],N/A
Consolidated Overspill,ConsolidatedOvsp_3,Others,1,"1407 (AMB:2.00, PRO:1.00, CHI:3.50)",1407,36,No,53',Dual Temp,6.5,N/A,49,45,94,OK,N/A,OK,Consolidated 3 shipments for store 1407 [Front: 2 ambient stops | Rear: 1 cold stops],N/A
Consolidated Overspill,ConsolidatedOvsp_4,Others,1,"1434 (AMB:4.78, PRO:2.50)",1434,248,No,53',Single Temp,7.28,N/A,290,30,320,OK,N/A,OK,Consolidated 2 shipments for store 1434 [Single Temp (Ambient): 2 stops],N/A
Consolidated Overspill,ConsolidatedOvsp_5,Others,1,"1567 (AMB:3.56, PRO:1.00)",1567,350,No,53',Single Temp,4.56,N/A,391,30,421,OK,N/A,OK,Consolidated 2 shipments for store 1567 [Single Temp (Ambient): 2 stops],N/A
Consolidated Overspill,ConsolidatedOvsp_6,Others,1,"1590 (PRO:1.00, FRE:5.78)",1590,369,Yes,36',Dual Temp,6.78,N/A,427,30,457,OK,N/A,OK,Consolidated 2 shipments for store 1590 [Front: 1 ambient stops | Rear: 1 cold stops],N/A
Consolidated Overspill,ConsolidatedOvsp_7,Others,1,"8004 (AMB:2.39, PRO:2.00, FRE:3.00)",8004,386,No,53',Dual Temp,7.39,N/A,427,45,472,OK,N/A,OK,Consolidated 3 shipments for store 8004 [Front: 2 ambient stops | Rear: 1 cold stops],N/A
Consolidated Overspill,ConsolidatedOvsp_8,Others,1,"8006 (CHI:5.63, FRE:3.00)",8006,411,No,53',Single Temp,8.63,N/A,455,30,515,OK,N/A,OK,Consolidated 2 shipments for store 8006 [Single Temp (Cold): 2 stops],N/A
Overspill,Overspill_1,Others,2,1572 (AMB:6.00) / 1564 (CHI:4.00),1572 (19.6 mi) -> 1564,365,Yes,48',Dual Temp,10,N/A,415,30,445,OK,64.66,OK, [Front: 1 ambient stops | Rear: 1 cold stops],N/A
Overspill,Overspill_2,Others,3,8015 (FRE:5.00) / 1559 (FRE:5.00) / 1576 (FRE:5.00),8015 (8.1 mi) -> 1559 (13.7 mi) -> 1576,376,Yes,48',Single Temp,15,N/A,438,45,513,OK,N/A,OK, [Single Temp (Cold): 3 stops],N/A
Overspill,Overspill_3,Others,3,1561 (FRE:0.39) / 8002 (FRE:3.00) / 8008 (FRE:3.00),1561 (26.5 mi) -> 8002 (20.6 mi) -> 8008,416,No,53',Single Temp,6.39,N/A,500,45,575,OK,N/A,OK, [Single Temp (Cold): 3 stops],N/A
Overspill,Overspill_4,Others,3,"1119 (AMB:0.39, PRO:2.00) / 1581 (AMB:1.78, PRO:1.00) / 1440 (PRO:2.50)",1119 (36.6 mi) -> 1581 (7.1 mi) -> 1440,357,No,53',Single Temp,7.67,N/A,434,75,539,OK,16.79,OK, [Single Temp (Ambient): 5 stops],N/A
Overspill,Overspill_5,Others,2,"1177 (PRO:2.50) / 1545 (AMB:1.78, PRO:2.50)",1177 (0 mi) -> 1545,285,No,53',Single Temp,6.78,N/A,329,45,374,OK,N/A,OK, [Single Temp (Ambient): 3 stops],N/A
NFI,N/A,N/A,0,NOT PLANNED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOTE: Carrier is valid but was not selected as the optimal choice. Cost not to use: $350.00,
NFI,N/A,N/A,0,NOT PLANNED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOTE: Carrier is valid but was not selected as the optimal choice. Cost not to use: $350.00,
NFI,N/A,N/A,0,NOT PLANNED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOTE: Carrier is valid but was not selected as the optimal choice. Cost not to use: $350.00,
NFI,N/A,N/A,0,NOT PLANNED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOTE: Carrier is valid but was not selected as the optimal choice. Cost not to use: $350.00,
NFI,N/A,N/A,0,NOT PLANNED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOTE: Carrier is valid but was not selected as the optimal choice. Cost not to use: $350.00,
NFI,N/A,N/A,0,NOT PLANNED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOTE: Carrier is valid but was not selected as the optimal choice. Cost not to use: $350.00,
NFI,N/A,N/A,0,NOT PLANNED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOTE: Carrier is valid but was not selected as the optimal choice. Cost not to use: $350.00,
NFI,N/A,N/A,0,NOT PLANNED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOTE: Carrier is valid but was not selected as the optimal choice. Cost not to use: $350.00,
NFI,N/A,N/A,0,NOT PLANNED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOTE: Carrier is valid but was not selected as the optimal choice. Cost not to use: $350.00,
NFI,N/A,N/A,0,NOT PLANNED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOTE: Carrier is valid but was not selected as the optimal choice. Cost not to use: $350.00,
NFI,N/A,N/A,0,NOT PLANNED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOTE: Carrier is valid but was not selected as the optimal choice. Cost not to use: $350.00,
NFI,N/A,N/A,0,NOT PLANNED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOTE: Carrier is valid but was not selected as the optimal choice. Cost not to use: $350.00,
NFI,N/A,N/A,0,NOT PLANNED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOTE: Carrier is valid but was not selected as the optimal choice. Cost not to use: $350.00,
NFI,N/A,N/A,0,NOT PLANNED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOTE: Carrier is valid but was not selected as the optimal choice. Cost not to use: $350.00,
NFI,N/A,N/A,0,NOT PLANNED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOTE: Carrier is valid but was not selected as the optimal choice. Cost not to use: $350.00,
CRE,N/A,N/A,0,UNUSED CAPACITY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unused Capacity at Sat Dec 30 1899 19:00:00 GMT-0500 (Eastern Standard Time),
CRE,N/A,N/A,0,UNUSED CAPACITY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unused Capacity at Sat Dec 30 1899 19:00:00 GMT-0500 (Eastern Standard Time),
CRE,N/A,N/A,0,UNUSED CAPACITY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unused Capacity at Sat Dec 30 1899 19:00:00 GMT-0500 (Eastern Standard Time),
CRE,N/A,N/A,0,UNUSED CAPACITY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unused Capacity at Sat Dec 30 1899 19:00:00 GMT-0500 (Eastern Standard Time),
CRE,N/A,N/A,0,UNUSED CAPACITY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unused Capacity at Sat Dec 30 1899 19:00:00 GMT-0500 (Eastern Standard Time),
CRE,N/A,N/A,0,UNUSED CAPACITY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unused Capacity at Sat Dec 30 1899 20:00:00 GMT-0500 (Eastern Standard Time),
CRE,N/A,N/A,0,UNUSED CAPACITY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unused Capacity at Sat Dec 30 1899 21:00:00 GMT-0500 (Eastern Standard Time),
CRE,N/A,N/A,0,UNUSED CAPACITY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unused Capacity at Sat Dec 30 1899 22:00:00 GMT-0500 (Eastern Standard Time),
CIR,CIR_1,Others,3,"1162 (AMB:1.78, PRO:2.50) / 1094 (AMB:6.00, PRO:1.00) / 1463 (AMB:11.17, PRO:1.50)",1162 (37.3 mi) -> 1094 (30.2 mi) -> 1463,236,No,53',Single Temp,23.95,92.10%,307,90,397,OK,N/A,OK, [Single Temp (Ambient): 6 stops],N/A
CIR,CIR_2,Others,3,"8007 (AMB:2.00, PRO:3.50, CHI:10.85) / 8021 (CHI:4.37) / 1561 (CHI:2.39)",8007 (16.5 mi) -> 8021 (33.5 mi) -> 1561,416,No,53',Dual Temp,23.11,88.90%,483,75,588,OK,N/A,OK, [Front: 2 ambient stops | Rear: 3 cold stops],N/A
CIR,CIR_3,Others,3,"1203 (AMB:10.39, PRO:2.50) / 1035 (AMB:7.56, PRO:2.00) / 1342 (PRO:1.50)",1203 (23.4 mi) -> 1035 (6.9 mi) -> 1342,161,No,53',Single Temp,23.95,92.10%,201,75,276,OK,N/A,OK, [Single Temp (Ambient): 5 stops],N/A
SCH,SCH_5,Others,3,"1250 (PRO:2.50, CHI:4.00) / 1425 (AMB:9.39, PRO:2.00) / 1094 (CHI:3.50)",1250 (61.1 mi) -> 1425 (84.5 mi) -> 1094,298,No,53',Dual Temp,21.39,82.30%,381,75,456,OK,309.8,OK, [COLD CHAIN WARNING] [Front: 3 ambient stops | Rear: 2 cold stops],N/A
SCH,SCH_6,Others,3,1342 (AMB:8.78) / 1035 (CHI:5.50) / 1162 (CHI:5.50),1342 (6.6 mi) -> 1035 (11.7 mi) -> 1162,165,No,53',Dual Temp,19.78,76.10%,204,45,249,OK,220,OK, [Front: 1 ambient stops | Rear: 2 cold stops],N/A
SCH,SCH_7,Others,2,"1429 (PRO:4.00, CHI:9.24) / 1203 (CHI:6.50)",1429 (52.2 mi) -> 1203,209,No,53',Dual Temp,19.74,75.90%,245,45,290,OK,227,OK, [Front: 1 ambient stops | Rear: 2 cold stops],N/A
SCH,SCH_8,Others,3,1429 (AMB:8.17) / 1342 (CHI:4.50) / 1484 (CHI:5.50),1429 (31.1 mi) -> 1342 (42.6 mi) -> 1484,234,No,53',Dual Temp,18.17,69.90%,288,45,333,OK,254.5,OK, [Front: 1 ambient stops | Rear: 2 cold stops],N/A
SCH,SCH_9,Others,3,"1572 (PRO:4.00, CHI:8.00) / 1559 (CHI:6.98) / 1567 (CHI:2.76)",1572 (4.9 mi) -> 1559 (25.6 mi) -> 1567,382,Yes,48',Dual Temp,21.74,98.80%,434,60,524,OK,323.33,OK, [Front: 1 ambient stops | Rear: 3 cold stops],N/A
SCH,SCH_10,Others,3,1579 (FRE:4.00) / 1580 (FRE:8.00) / 1567 (FRE:5.00),1579 (0 mi) -> 1580 (16.3 mi) -> 1567,361,Yes,48',Single Temp,17,77.30%,413,45,458,OK,280.5,OK, [Single Temp (Cold): 3 stops],N/A
SCH,SCH_11,Others,3,"1443 (AMB:1.00, PRO:4.00, CHI:7.50) / 1434 (CHI:5.11) / 8002 (CHI:5.26)",1443 (29.8 mi) -> 1434 (71.6 mi) -> 8002,443,No,53',Dual Temp,22.87,88.00%,522,75,627,OK,515.9,OK, [Front: 2 ambient stops | Rear: 3 cold stops],N/A
SCH,SCH_12,Others,3,"1576 (AMB:4.00, PRO:3.00, CHI:7.48) / 8004 (CHI:4.37) / 1119 (CHI:4.00)",1576 (14.6 mi) -> 8004 (57.3 mi) -> 1119,403,No,53',Dual Temp,22.85,87.90%,481,75,586,OK,350.62,OK, [Front: 2 ambient stops | Rear: 3 cold stops],N/A
HB,HB_13,Others,3,"1410 (AMB:3.39, PRO:3.00, CHI:7.11) / 1581 (CHI:3.50) / 1440 (CHI:5.24)",1410 (0 mi) -> 1581 (7.1 mi) -> 1440,333,No,53',Dual Temp,22.24,85.50%,392,75,467,OK,266.5,OK, [Front: 2 ambient stops | Rear: 3 cold stops],N/A
HB,HB_14,Others,3,"1352 (AMB:0.78) / 1484 (AMB:6.56, PRO:2.00) / 1138 (AMB:6.78, PRO:2.00)",1352 (40.2 mi) -> 1484 (27.3 mi) -> 1138,199,No,53',Single Temp,18.12,69.70%,260,75,335,OK,199.5,OK, [Single Temp (Ambient): 5 stops],N/A
CRE,CRE_15,Others,2,"1566 (AMB:6.39, PRO:1.00, CHI:4.00) / 1081 (CHI:4.37)",1566 (35.5 mi) -> 1081,241,No,53',Dual Temp,15.76,60.60%,279,60,339,OK,480.75,OK, [Front: 2 ambient stops | Rear: 2 cold stops],N/A
CRE,CRE_16,Others,3,"1561 (AMB:1.78, PRO:0.50) / 1559 (AMB:4.56, PRO:3.00) / 8015 (AMB:6.17)",1561 (9.5 mi) -> 1559 (9 mi) -> 8015,354,Yes,48',Single Temp,16.01,72.80%,439,75,544,OK,565.5,OK, [Single Temp (Ambient): 5 stops],N/A
CRE,CRE_17,Others,3,"1433 (AMB:4.39, PRO:2.39, CHI:5.50) / 1177 (CHI:4.00) / 1545 (CHI:3.00)",1433 (43.8 mi) -> 1177 (0 mi) -> 1545,334,No,53',Dual Temp,19.28,74.20%,412,75,517,OK,550.5,OK, [Front: 2 ambient stops | Rear: 3 cold stops],N/A
CRE,CRE_18,Others,3,"1564 (AMB:4.78, PRO:2.00) / 1579 (AMB:4.50, PRO:1.00) / 1580 (PRO:1.00, CHI:6.48)",1564 (0 mi) -> 1579 (0 mi) -> 1580,338,Yes,48',Dual Temp,19.76,89.80%,385,90,475,OK,553.5,OK, [Front: 5 ambient stops | Rear: 1 cold stops],N/A
CRE,CRE_19,Others,3,"8002 (AMB:2.00, PRO:2.00) / 8006 (AMB:3.39, PRO:2.50) / 8021 (AMB:3.17, PRO:2.00)",8002 (6.2 mi) -> 8006 (12.2 mi) -> 8021,403,No,53',Single Temp,15.06,57.90%,458,90,578,OK,602.25,OK, [Single Temp (Ambient): 6 stops],N/A
Consolidated Overspill,ConsolidatedOvsp_1,Others,1,"1023 (AMB:3.39, PRO:2.39, CHI:3.50, FRE:2.00)",1023,36,No,53',Dual Temp,11.28,N/A,49,60,109,OK,N/A,OK,Consolidated 4 shipments for store 1023 [Front: 2 ambient stops | Rear: 2 cold stops],N/A
Consolidated Overspill,ConsolidatedOvsp_2,Others,1,"1129 (AMB:7.78, PRO:1.50, CHI:5.00)",1129,90,No,53',Dual Temp,14.28,N/A,109,45,154,OK,N/A,OK,Consolidated 3 shipments for store 1129 [Front: 2 ambient stops | Rear: 1 cold stops],N/A
Consolidated Overspill,ConsolidatedOvsp_3,Others,1,"1407 (AMB:2.00, PRO:1.00, CHI:3.50)",1407,36,No,53',Dual Temp,6.5,N/A,49,45,94,OK,N/A,OK,Consolidated 3 shipments for store 1407 [Front: 2 ambient stops | Rear: 1 cold stops],N/A
Consolidated Overspill,ConsolidatedOvsp_4,Others,1,"1434 (AMB:4.78, PRO:2.50)",1434,248,No,53',Single Temp,7.28,N/A,290,30,320,OK,N/A,OK,Consolidated 2 shipments for store 1434 [Single Temp (Ambient): 2 stops],N/A
Consolidated Overspill,ConsolidatedOvsp_5,Others,1,"1567 (AMB:3.56, PRO:1.00)",1567,350,No,53',Single Temp,4.56,N/A,391,30,421,OK,N/A,OK,Consolidated 2 shipments for store 1567 [Single Temp (Ambient): 2 stops],N/A
Consolidated Overspill,ConsolidatedOvsp_6,Others,1,"1590 (PRO:1.00, FRE:5.78)",1590,369,Yes,36',Dual Temp,6.78,N/A,427,30,457,OK,N/A,OK,Consolidated 2 shipments for store 1590 [Front: 1 ambient stops | Rear: 1 cold stops],N/A
Consolidated Overspill,ConsolidatedOvsp_7,Others,1,"8004 (AMB:2.39, PRO:2.00, FRE:3.00)",8004,386,No,53',Dual Temp,7.39,N/A,427,45,472,OK,N/A,OK,Consolidated 3 shipments for store 8004 [Front: 2 ambient stops | Rear: 1 cold stops],N/A
Consolidated Overspill,ConsolidatedOvsp_8,Others,1,"8006 (CHI:5.63, FRE:3.00)",8006,411,No,53',Single Temp,8.63,N/A,455,30,515,OK,N/A,OK,Consolidated 2 shipments for store 8006 [Single Temp (Cold): 2 stops],N/A
Overspill,Overspill_1,Others,2,1572 (AMB:6.00) / 1564 (CHI:4.00),1572 (19.6 mi) -> 1564,365,Yes,48',Dual Temp,10,N/A,415,30,445,OK,64.66,OK, [Front: 1 ambient stops | Rear: 1 cold stops],N/A
Overspill,Overspill_2,Others,3,8015 (FRE:5.00) / 1559 (FRE:5.00) / 1576 (FRE:5.00),8015 (8.1 mi) -> 1559 (13.7 mi) -> 1576,376,Yes,48',Single Temp,15,N/A,438,45,513,OK,N/A,OK, [Single Temp (Cold): 3 stops],N/A
Overspill,Overspill_3,Others,3,1561 (FRE:0.39) / 8002 (FRE:3.00) / 8008 (FRE:3.00),1561 (26.5 mi) -> 8002 (20.6 mi) -> 8008,416,No,53',Single Temp,6.39,N/A,500,45,575,OK,N/A,OK, [Single Temp (Cold): 3 stops],N/A
Overspill,Overspill_4,Others,3,"1119 (AMB:0.39, PRO:2.00) / 1581 (AMB:1.78, PRO:1.00) / 1440 (PRO:2.50)",1119 (36.6 mi) -> 1581 (7.1 mi) -> 1440,357,No,53',Single Temp,7.67,N/A,434,75,539,OK,16.79,OK, [Single Temp (Ambient): 5 stops],N/A
Overspill,Overspill_5,Others,2,"1177 (PRO:2.50) / 1545 (AMB:1.78, PRO:2.50)",1177 (0 mi) -> 1545,285,No,53',Single Temp,6.78,N/A,329,45,374,OK,N/A,OK, [Single Temp (Ambient): 3 stops],N/A
NFI,N/A,N/A,0,UNUSED CAPACITY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unused Capacity at Sat Dec 30 1899 19:00:00 GMT-0500 (Eastern Standard Time),
NFI,N/A,N/A,0,UNUSED CAPACITY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unused Capacity at Sat Dec 30 1899 19:00:00 GMT-0500 (Eastern Standard Time),
NFI,N/A,N/A,0,UNUSED CAPACITY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unused Capacity at Sat Dec 30 1899 20:00:00 GMT-0500 (Eastern Standard Time),
NFI,N/A,N/A,0,UNUSED CAPACITY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unused Capacity at Sat Dec 30 1899 20:00:00 GMT-0500 (Eastern Standard Time),
NFI,N/A,N/A,0,UNUSED CAPACITY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unused Capacity at Sat Dec 30 1899 20:00:00 GMT-0500 (Eastern Standard Time),
NFI,N/A,N/A,0,UNUSED CAPACITY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unused Capacity at Sat Dec 30 1899 20:00:00 GMT-0500 (Eastern Standard Time),
NFI,N/A,N/A,0,UNUSED CAPACITY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unused Capacity at Sat Dec 30 1899 20:00:00 GMT-0500 (Eastern Standard Time),
NFI,N/A,N/A,0,UNUSED CAPACITY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unused Capacity at Sat Dec 30 1899 20:00:00 GMT-0500 (Eastern Standard Time),
NFI,N/A,N/A,0,UNUSED CAPACITY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unused Capacity at Sat Dec 30 1899 21:00:00 GMT-0500 (Eastern Standard Time),
NFI,N/A,N/A,0,UNUSED CAPACITY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unused Capacity at Sat Dec 30 1899 21:00:00 GMT-0500 (Eastern Standard Time),
NFI,N/A,N/A,0,UNUSED CAPACITY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unused Capacity at Sat Dec 30 1899 21:00:00 GMT-0500 (Eastern Standard Time),
NFI,N/A,N/A,0,UNUSED CAPACITY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unused Capacity at Sat Dec 30 1899 21:00:00 GMT-0500 (Eastern Standard Time),
